keyword,entity,bio_label,reason
우유,MILK,B-MILK,우유 알레르기 관련 원재료입니다.
전지분유,MILK,B-MILK,우유를 건조하여 만든 분말 성분입니다.
탈지분유,MILK,B-MILK,우유에서 지방을 제거한 뒤 건조한 성분입니다.
유청,MILK,B-MILK,우유에서 유래한 성분입니다.
유청분말,MILK,B-MILK,우유에서 유래한 유청 분말입니다.
유청단백질,MILK,B-MILK,우유에서 유래한 단백질 성분입니다.
카제인,MILK,B-MILK,우유 단백질 성분입니다.
카제인나트륨,MILK,B-MILK,카제인에서 유래한 우유 관련 성분입니다.
락토알부민,MILK,B-MILK,우유에 포함되는 단백질 성분입니다.
락토글로불린,MILK,B-MILK,우유에 포함되는 단백질 성분입니다.
버터,MILK,B-MILK,우유 지방을 원료로 만든 유제품입니다.
치즈,MILK,B-MILK,우유를 원료로 만든 유제품입니다.
치즈분말,MILK,B-MILK,치즈를 분말 형태로 가공한 성분입니다.
유당,MILK,B-MILK,우유에 포함되는 당 성분입니다.
락토오스,MILK,B-MILK,유당을 의미하는 표현입니다.
생크림,MILK,B-MILK,우유의 유지방을 원료로 만든 유제품입니다.
크림분말,MILK,B-MILK,우유 또는 유지방에서 유래할 수 있는 분말 성분입니다.
계란,EGG,B-EGG,계란 알레르기 관련 원재료입니다.
달걀,EGG,B-EGG,계란과 같은 의미의 원재료입니다.
알류,EGG,B-EGG,계란류를 의미하는 알레르기 표시 용어입니다.
난류,EGG,B-EGG,계란류를 의미하는 표현입니다.
난백,EGG,B-EGG,계란 흰자 성분입니다.
난백액,EGG,B-EGG,액체 형태의 계란 흰자 성분입니다.
난백분,EGG,B-EGG,계란 흰자를 분말로 만든 성분입니다.
난황,EGG,B-EGG,계란 노른자 성분입니다.
난황액,EGG,B-EGG,액체 형태의 계란 노른자 성분입니다.
난황분,EGG,B-EGG,계란 노른자를 분말로 만든 성분입니다.
전란,EGG,B-EGG,계란 전체를 사용한 성분입니다.
전란액,EGG,B-EGG,계란 전체를 액체 형태로 가공한 성분입니다.
계란분말,EGG,B-EGG,계란을 분말 형태로 가공한 성분입니다.
땅콩,PEANUT,B-PEANUT,땅콩 알레르기 관련 원재료입니다.
땅콩분태,PEANUT,B-PEANUT,땅콩을 잘게 부순 성분입니다.
땅콩가루,PEANUT,B-PEANUT,땅콩을 가루 형태로 만든 성분입니다.
땅콩분말,PEANUT,B-PEANUT,땅콩을 분말 형태로 만든 성분입니다.
땅콩버터,PEANUT,B-PEANUT,땅콩을 원료로 만든 식품입니다.
땅콩페이스트,PEANUT,B-PEANUT,땅콩을 갈아 만든 성분입니다.
피넛,PEANUT,B-PEANUT,땅콩을 의미하는 영어식 표현입니다.
피넛버터,PEANUT,B-PEANUT,땅콩버터를 의미하는 표현입니다.
대두,SOY,B-SOY,대두 알레르기 관련 원재료입니다.
콩,SOY,B-SOY,대두 또는 콩류를 의미하는 원재료 표현입니다.
대두분,SOY,B-SOY,대두를 분말로 가공한 성분입니다.
대두분말,SOY,B-SOY,대두를 분말 형태로 만든 성분입니다.
대두단백,SOY,B-SOY,대두에서 추출한 단백질 성분입니다.
분리대두단백,SOY,B-SOY,대두에서 단백질을 분리한 성분입니다.
농축대두단백,SOY,B-SOY,대두 단백질을 농축한 성분입니다.
대두유,SOY,B-SOY,대두에서 추출한 기름입니다.
두유,SOY,B-SOY,대두를 원료로 만든 음료입니다.
대두레시틴,SOY,B-SOY,대두에서 유래한 레시틴 성분입니다.
콩가루,SOY,B-SOY,콩을 가루 형태로 만든 성분입니다.
콩단백,SOY,B-SOY,콩에서 유래한 단백질 성분입니다.
밀,WHEAT,B-WHEAT,밀 알레르기 관련 원재료입니다.
밀가루,WHEAT,B-WHEAT,밀을 분쇄하여 만든 성분입니다.
소맥,WHEAT,B-WHEAT,밀을 의미하는 표현입니다.
소맥분,WHEAT,B-WHEAT,밀가루를 의미하는 원재료 표현입니다.
통밀,WHEAT,B-WHEAT,밀의 겨와 배아를 포함한 원재료입니다.
통밀가루,WHEAT,B-WHEAT,통밀을 분쇄하여 만든 성분입니다.
밀단백,WHEAT,B-WHEAT,밀에서 유래한 단백질 성분입니다.
밀단백질,WHEAT,B-WHEAT,밀에서 유래한 단백질 성분입니다.
글루텐,WHEAT,B-WHEAT,밀 등에 포함되는 단백질 성분입니다.
밀글루텐,WHEAT,B-WHEAT,밀에서 추출한 글루텐 성분입니다.
밀전분,WHEAT,B-WHEAT,밀에서 추출한 전분 성분입니다.
밀배아,WHEAT,B-WHEAT,밀의 배아 부분에서 유래한 성분입니다.
